Año,Numero Total de Nacimientos,Numero Total de Defunciones
2023,171.992,121.270
2022,189.310,136.958
2021,177.255,137.439
2020,194.952,125.833
2019,210.188,109.658
2018,221.731,106.796
2017,219.186,106.388
2016,231.749,104.026
2015,244.670,103.327
2014,250.997,101.960
2013,242.005,99.770
2012,243.635,98.711
2011,247.358,94.985
